id,category,question,answer,tags,last_updated
1,preparation,What documents do I need to cross?,Valid passport; if driving Singapore car into Malaysia also VEP registration + Touch 'n Go card.,passport|vep|touch_n_go|border_crossing|entry_requirements|tng|vehicle_entry_permit|registration|car|driving|border|toll,11/21/2025
2,preparation,How long should my passport be valid?,Keep 6+ months remaining to avoid questioning.,passport|validity|expiry_date|travel_documents|passport_validity|expiry|renewal|border|immigration,11/21/2025
3,preparation,Do I need travel insurance for a dental visit?,Not required; basic travel/medical cover is smart for surprises.,insurance|dental|medical_cover|travel_insurance|coverage|policy|medical|clinic|emergency,11/21/2025
4,preparation,Should I bring my old dental x-rays?,Yes—can avoid repeat imaging and save time.,xray|records|dental_history|previous_treatment,11/21/2025
5,preparation,What appointment proof should I carry?,Digital confirmation (email/message) is fine.,appointment|proof|confirmation|booking_evidence,11/21/2025
6,preparation,Do I need cash or are cards enough?,Carry both: clinics usually take cards; small purchases need MYR cash.,cash|card|payment_methods|currency|money|payment|digital_payment|clinic|sgd|myr|wallet|apps,11/21/2025
7,preparation,Can I bring prescription meds across?,Yes in personal-use amounts; keep original packaging.,meds|personal_use|prescription_medication|border_rules,11/21/2025
8,preparation,Do I need to declare dental items?,No—personal care items like whitening gel are fine.,whitening|declare|dental_products|customs_declaration,11/21/2025
9,timing,When is the Causeway busiest?,Weekday AM (7–9:30 SG→JB) and PM (5–8 JB→SG); early weekend mornings too.,causeway|peak|traffic_jam|busy_times|border_crossing,11/21/2025
10,timing,Best time to cross to avoid jams?,Mid-morning (10–3) or late night after 9 PM.,causeway|avoid_jam|traffic_tips|best_time|border_crossing,11/21/2025
11,timing,How early should I leave for a 10 AM JB appointment?,About 8 AM on weekdays (buffer for queues).,buffer|appointment|timing|travel_time|early_departure,11/21/2025
12,timing,Are Friday evenings slow returning?,Yes—often 1–2 hour queues back to SG.,friday|return|traffic|border_crossing|evening,11/21/2025
13,timing,Do school holidays increase traffic?,Yes—more family travel and longer car lines.,school_holiday|traffic|busy_times|border_jam,11/21/2025
14,timing,Does rain worsen crossing time?,Often yes—slower driving and cautious queues.,rain|delay|weather|traffic|border_crossing,11/21/2025
15,crossing_process,What is the order when crossing?,"SG exit at Causeway, then exit  JB CIQ immigration, finally onward transport.",process|sequence|border_steps|crossing_order,11/21/2025
16,crossing_process,Do I fill any forms at JB CIQ?,Not for short dental visits |passport scan & fingerprint only.,ciq|forms|immigration|entry_requirements,11/21/2025
17,crossing_process,Are there separate lines?,Yes: cars | buses  |  motorcycles|  taxi/ride-hail |  pedestrians,|  lines|checkpoint|border_queue|crossing_types.,11/21/2025
18,crossing_process,Can pedestrians cross comfortably?,Possible but noisy & exposed—bus or vehicle easier.,pedestrian|comfort|walking|border_crossing,11/21/2025
19,crossing_process,Are toilets available at checkpoints?,Limited basic facilities—use early.,toilet|checkpoint|facilities|border_amenities,11/21/2025
20,crossing_process,Can minors cross alone?,Not advised; bring consent docs if one parent absent.,minor|consent|children|border_rules|travel_documents,11/21/2025
21,crossing_process,What if I lose my passport in JB?,Report to police; contact embassy/high commission quickly.,lost_passport|emergency|passport_lost|embassy|police,11/21/2025
22,transport,What transport modes can I use?,Bus," train shuttle (if active),|  private car,modes|overview|transport_options|bus|train|taxi|car",11/21/2025
23,transport,Is the Shuttle Tebrau running?,Schedule can change or pause; verify latest times & ticket availability early on the official KTM site: https://www.ktmb.com.my/ (tickets can sell out fast).,ktm|shuttle|dynamic|link|train|tebrau|schedule,11/21/2025
