id,category,question,answer,last_updated
1,preparation,What documents do I need to cross?,Valid passport; if driving Singapore car into Malaysia also VEP registration + Touch 'n Go card.,11/21/2025
2,preparation,How long should my passport be valid?,Keep 6+ months remaining to avoid questioning.,11/21/2025
3,preparation,Do I need travel insurance for a dental visit?,Not required; basic travel/medical cover is smart for surprises.,11/21/2025
4,preparation,Should I bring my old dental x-rays?,Yes€”can avoid repeat imaging and save time.,11/21/2025
5,preparation,What appointment proof should I carry?,Digital confirmation (email/message) is fine.,11/21/2025
6,preparation,Do I need cash or are cards enough?,Carry both: clinics usually take cards; small purchases need MYR cash.,11/21/2025
7,preparation,Can I bring prescription meds across?,Yes in personal-use amounts; keep original packaging.,11/21/2025
8,preparation,Do I need to declare dental items?,No€”personal care items like whitening gel are fine.,11/21/2025
9,timing,When is the Causeway busiest?,Weekday AM (7â€“9:30 SG†’JB) and PM (5â€“8 JB†’SG); early weekend mornings too.,11/21/2025
10,timing,Best time to cross to avoid jams?,Mid-morning (10â€“3) or late night after 9 PM.,11/21/2025
11,timing,How early should I leave for a 10 AM JB appointment?,About 8 AM on weekdays (buffer for queues).,11/21/2025
12,timing,Are Friday evenings slow returning?,Yes€”often 1â€“2 hour queues back to SG.,11/21/2025
13,timing,Do school holidays increase traffic?,Yes€”more family travel and longer car lines.,11/21/2025
14,timing,Does rain worsen crossing time?,Often yes€”slower driving and cautious queues.,11/21/2025
15,crossing_process,What is the order when crossing?,"SG exit at Causeway, then exit  JB CIQ immigration, finally onward transport.",11/21/2025
16,crossing_process,Do I fill any forms at JB CIQ?,Not for short dental visits |passport scan & fingerprint only.,11/21/2025
17,crossing_process,Are there separate lines?,Yes: cars | buses  |  motorcycles|  taxi/ride-hail |  pedestrians,11/21/2025
18,crossing_process,Can pedestrians cross comfortably?,Possible but noisy & exposed€”bus or vehicle easier.,11/21/2025
19,crossing_process,Are toilets available at checkpoints?,Limited basic facilities€”use early.,11/21/2025
20,crossing_process,Can minors cross alone?,Not advised; bring consent docs if one parent absent.,11/21/2025
21,crossing_process,What if I lose my passport in JB?,Report to police; contact embassy/high commission quickly.,11/21/2025
22,transport,What transport modes can I use?," Bus, Train (Shuttle Tebrau), Car, Taxi, or Ride-hailing services. Bus is the most common public transport option; be aware this involves getting off at both checkpoints and re-boarding a different bus.",11/21/2025
23,transport,Is the Shuttle Tebrau running?,Schedule can change or pause; verify latest times & ticket availability early on the official KTM site: https://www.ktmb.com.my/ (tickets can sell out fast).,11/21/2025
24,transport,Bus or taxi€”what€™s faster?,Taxi/Grab saves time; bus is cheaper but slower.,11/21/2025
25,transport,Is Grab available at JB CIQ?,Yes€”usually available around CIQ and malls.,11/21/2025
26,transport,How do I reach Mount Austin from JB CIQ?,Taxi/Grab ~20â€“30 min off-peak.,11/21/2025
27,transport,Can I walk to clinics from CIQ?,Only very near spots; most clinic zones need transport.,11/21/2025
28,transport,How do I get from Woodlands to Johor CIQ?,MRT/bus to Woodlands or Kranji then cross-border bus (e.g. 170/160/950 or CW buses).,11/21/2025
29,transport,How do I get from central Singapore to Johor CIQ?,MRT to Kranji/Woodlands then cross-border bus; taxi/Grab if you want direct.,11/21/2025
30,transport,Which bus numbers cross the Causeway?,Public: 160 |170 |170X |950,11/21/2025
31,costs,Bus cost each way?,Usually low single digits (a few SGD or RM); fares can adjust€”confirm at ticket counter or operator site.,11/21/2025
